"Computing & IT, Management",University of Texas at Dallas,"Richardson, TX",82,Yes,Growing tech and management programs.,"Jan, Aug","Morning, Evening",Yes,"CS, MBA"
"Computing & IT, Life Sciences",Rutgers University,"New Brunswick, NJ",80,Yes,"Offers computing, life sciences, health research.","Jan, Sep","Morning, Evening",Yes,"CS, Bio"
"Computing & IT, Engineering",University of Kansas,"Lawrence, KS",78,Yes,Public university with CS and engineering labs.,"Jan, Sep","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Engineering, Management",University of Illinois at Chicago,"Chicago, IL",80,Yes,"Offers diverse programs in computing, engineering, business and health with strong research labs.","Jan, Aug","Morning, Evening",Yes,"CS, Info Tech, Business, Eng"
"Computing & IT, Health, Social Sciences","University of California, Riverside","Riverside, CA",80,Yes,"Public research university providing computing, health sciences and social sciences programs.","Jan, Sep","Morning, Evening",Yes,"CS, Nursing, Psych"
"Engineering, Computing","University of California, Santa Barbara","Santa Barbara, CA",83,Yes,"Known for science, engineering and research with strong labs.","Jan, Sep","Morning, Evening",Yes,"Physics, CS, Eng"
"Computing & IT, Life Sciences",University of North Carolina at Chapel Hill,"Chapel Hill, NC",82,Yes,"Strong programs in computing, health and life sciences with research labs.","Jan, Aug","Morning, Evening",Yes,"CS, Bio, Health"
"Computing & IT, Management",University of Notre Dame,"Notre Dame, IN",85,Yes,"Private university with programs in computing, business, and humanities.","Jan, Aug","Morning, Evening",Yes,"CS, MBA, Econ"
"Computing & IT, Engineering",Florida State University,"Tallahassee, FL",78,Yes,"Offers broad programs including computing, engineering, and sciences.","Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Management, Social Sciences",University of Massachusetts Amherst,"Amherst, MA",80,Yes,Large public university with business and social sciences emphasis.,"Jan, Sep","Morning, Evening",Yes,"Bus, Econ, Psych"
"Computing & IT, Engineering",Washington State University,"Pullman, WA",78,Yes,Diverse programs in computing and engineering with lab focus.,"Jan, Sep","Morning, Evening",Yes,"CS, CE"
"Computing & IT, Life Sciences",Iowa State University,"Ames, IA",78,Yes,"Public university strong in science, computing and biotech.","Jan, Aug","Morning, Evening",Yes,"Bio, CS"
"Computing & IT, Management",Baylor University,"Waco, TX",80,Yes,"Private university offering computing, business, and arts.","Jan, Aug","Morning, Evening",Yes,"CS, Bus"
"Engineering, Computing",Colorado State University,"Fort Collins, CO",78,Yes,Offers engineering and technology programs with labs.,"Jan, Sep","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Social Sciences",San Diego State University,"San Diego, CA",80,Yes,"Public university with computing, business, and social sciences.","Jan, Aug","Morning, Evening",Yes,"CS, Psych, Econ"
"Computing & IT, Life Sciences",Kentucky State University,"Frankfort, KY",75,Yes,"Offers computing, life sciences and social sciences.","Jan, Sep","Morning, Evening",Yes,"CS, Bio"
"Computing & IT, Engineering",University of Tennessee,"Knoxville, TN",78,Yes,"Provides tech, engineering, and research programs.","Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Social Sciences",University of Oklahoma,"Norman, OK",78,Yes,"Offers computing, business, psychology programs.","Jan, Aug","Morning, Evening",Yes,"CS, Psych, Bus"
"Computing & IT, Health",University of South Carolina,"Columbia, SC",79,Yes,"Provides computing, health sciences, and life sciences.","Jan, Aug","Morning, Evening",Yes,"CS, Nursing, Bio"
"Computing & IT, Engineering",Louisiana State University,"Baton Rouge, LA",77,Yes,Public research university with computing and engineering.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Life Sciences",West Virginia University,"Morgantown, WV",76,Yes,"Offers computing, life sciences and health sciences.","Jan, Aug","Morning, Evening",Yes,"CS, Nursing, Bio"
"Management, Social Sciences",University of Missouri,"Columbia, MO",78,Yes,Public university with business and liberal arts.,"Jan, Aug","Morning, Evening",Yes,"Bus, Soc Sci"
"Computing & IT, Engineering",Auburn University,"Auburn, AL",78,Yes,"Offers computing, engineering and technology labs.","Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Health",Rutgers Universityï¿½Camden,"Camden, NJ",78,Yes,"Offers computing, health science and management.","Jan, Sep","Morning, Evening",Yes,"CS, Health"
"Computing & IT, Social Sciences",University at Buffalo (SUNY),"Buffalo, NY",80,Yes,Public research university with computing and social sciences.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych"
"Computing & IT, Management",University of Central Florida,"Orlando, FL",79,Yes,Large public university with computing and business.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus"
"Computing & IT, Engineering",Northern Illinois University,"DeKalb, IL",76,Yes,Offers engineering and computing labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Life Sciences",University of Arkansas,"Fayetteville, AR",77,Yes,"Offers computing, science and health labs.","Jan, Aug","Morning, Evening",Yes,"CS, Bio"
"Computing & IT, Health",Michigan Technological University,"Houghton, MI",78,Yes,STEM?focused university with labs and tech.,"Jan, Sep","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Social Sciences",University of Hawaii at Manoa,"Honolulu, HI",75,Yes,"Offers computing, social sciences and management.","Jan, Aug","Morning, Evening",Yes,"CS, Psych"
"Computing & IT, Management",Quinnipiac University,"Hamden, CT",80,Yes,Private university with computing and business.,"Jan, Sep","Morning, Evening",Yes,"CS, Bus"
"Computing & IT, Life Sciences",Ball State University,"Muncie, IN",76,Yes,"Offers computing, life sciences and education.","Jan, Aug","Morning, Evening",Yes,"CS, Bio"
"Computing & IT, Engineering",Wichita State University,"Wichita, KS",75,Yes,Offers engineering and tech programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Health",Stony Brook University,"Stony Brook, NY",80,Yes,Research university with strong health sciences and compsci.,"Jan, Aug","Morning, Evening",Yes,"CS, Nursing"
"Computing & IT, Social Sciences",University of Memphis,"Memphis, TN",76,Yes,Offers computing and social sciences.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych"
"Computing & IT, Management",Miami University (Ohio),"Oxford, OH",78,Yes,"Public university with computing, business focus.","Jan, Aug","Morning, Evening",Yes,"CS, Bus"
"Computing & IT, Engineering",San Jose State University,"San Jose, CA",79,Yes,Tech?focused programs with labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Life Sciences",University of Rhode Island,"Kingston, RI",77,Yes,Offers computing and life sciences.,"Jan, Aug","Morning, Evening",Yes,"CS, Bio"
"Computing & IT, Health",Florida International University,"Miami, FL",78,Yes,Offers computing and health science programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Health"
"Computing & IT, Social Sciences",Georgia State University,"Atlanta, GA",78,Yes,Offers computing and liberal arts.,"Jan, Aug","Morning, Evening",Yes,"CS, Soc Sci"
"Computing & IT, Management",DePaul University,"Chicago, IL",78,Yes,"Offers computing, business and arts programs.","Jan, Aug","Morning, Evening",Yes,"CS, Bus"
"Computing & IT, Engineering",Texas Tech University,"Lubbock, TX",77,Yes,Offers engineering and computing lab programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Health",University of South Florida,"Tampa, FL",78,Yes,"Offers computing, health sciences, and business.","Jan, Aug","Morning, Evening",Yes,"CS, Health"
"Computing & IT, Social Sciences",University of Louisiana at Lafayette,"Lafayette, LA",76,Yes,"Offers computing, social sciences, business.","Jan, Aug","Morning, Evening",Yes,"CS, Psych"
"Computing & IT, Engineering",University of Alaska Fairbanks,"Fairbanks, AK",74,Yes,Offers computing and engineering programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Life Sciences",University of Montana,"Missoula, MT",74,Yes,Offers computing and sciences.,"Jan, Aug","Morning, Evening",Yes,"CS, Bio"
"Computing & IT, Health",Idaho State University,"Pocatello, ID",74,Yes,Offers computing and health sciences.,"Jan, Aug","Morning, Evening",Yes,"CS, Health"
"Computing & IT, Social Sciences",Hofstra University,"Hempstead, NY",78,Yes,Offers computing and social sciences programs.,"Jan, Aug","Morning, Evening",Yes,"CS, Soc Sci"
"Computing & IT, Engineering",Portland State University,"Portland, OR",75,Yes,"Offers computing, engineering, and applied sciences with active lab work.","Jan, Sep","Morning, Evening",Yes,"CS, CE, IT"
"Computing & IT, Management",San Francisco State University,"San Francisco, CA",75,Yes,Provides computing and business programs with industry focus.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus"
"Computing & IT, Life Sciences","University of Nevada, Reno","Reno, NV",76,Yes,"Offers computing, sciences, and health related programs.","Jan, Aug","Morning, Evening",Yes,"CS, Bio, Health"
"Computing & IT, Social Sciences",Cleveland State University,"Cleveland, OH",75,Yes,Provides computing and social sciences with lab components.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych"
"Computing & IT, Engineering",Old Dominion University,"Norfolk, VA",75,Yes,Offers engineering and computing programs with labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Management",Loyola University Chicago,"Chicago, IL",80,Yes,Private university with computing and business disciplines.,"Jan, Aug","Morning, Evening",Yes,"CS, Bus"
"Computing & IT, Life Sciences",University of Houston,"Houston, TX",78,Yes,"Offers computing, sciences, and health programs.","Jan, Aug","Morning, Evening",Yes,"CS, Bio"
"Computing & IT, Engineering",University of Rhode Island,"Kingston, RI",77,Yes,Public institution with computing and engineering labs.,"Jan, Aug","Morning, Evening",Yes,"CS, Eng"
"Computing & IT, Social Sciences",Oakland University,"Rochester, MI",76,Yes,Offers computing and social sciences with lab access.,"Jan, Aug","Morning, Evening",Yes,"CS, Psych"
